Date,Price,Open,High,Low,Vol.,Change %
01-03-2005,429.7,438.9,438.9,427.8,82850,-1.98
01-04-2005,429.2,430.4,431.3,424.8,54830,-0.12
01-05-2005,427.3,429,429.3,425.9,43720,-0.44
01-06-2005,421.6,427,428.3,421.1,65180,-1.33
01-07-2005,419.5,422.1,425.8,417.2,97970,-0.5
01-10-2005,419.7,419.9,422.3,418.4,34180,0.05
01-11-2005,422.4,419.6,423.3,419.6,46900,0.64
01-12-2005,426.6,423,428.3,421.1,64040,0.99
01/13/2005,425.1,426.6,427.3,423.6,35090,-0.35
01/14/2005,423.3,422.9,423.3,422.7,30930,-0.42
01/18/2005,423.5,422,424.2,421.4,27490,0.05
01/19/2005,423.3,423.5,427.2,422.6,40270,-0.05
01/20/2005,422.6,423.1,423.4,420.3,40730,-0.17
01/21/2005,426.9,422.7,428.5,421.3,58180,1.02
01/24/2005,427.1,426.7,428.2,426.7,50720,0.05
01/25/2005,422.1,427.1,428.1,421,86020,-1.17
01/26/2005,426.9,422.3,427.8,421.4,90240,1.14
01/27/2005,426.3,426.7,428.1,424,66920,-0.14
01/28/2005,428.1,428.6,429.7,426.1,66140,0.42
01/31/2005,424.1,428.3,428.9,421.5,65840,-0.93
02-01-2005,422.9,424.3,424.6,421.4,38340,-0.28
02-02-2005,423,422.7,424.7,421.9,22300,0.02
02-03-2005,418.5,422.8,423.9,416.2,55310,-1.06
02-04-2005,415.9,418.6,419.5,415.5,49620,-0.62
02-07-2005,415.4,415.9,417.7,414,35110,-0.12
02-08-2005,414.3,415.7,415.8,412,0,-0.26
02-09-2005,414.5,414,415.3,411.5,37360,0.05
02-10-2005,418.7,414.4,420.1,413.1,69240,1.01
02-11-2005,422,419,423.4,417.7,44840,0.79
02/14/2005,427.3,422,427.7,422,50150,1.26
02/15/2005,427.3,427.4,428.7,425,46360,0
02/16/2005,426.9,427.1,427.4,423.4,43800,-0.09
02/17/2005,428.6,427.1,429.8,425.5,47760,0.4
02/18/2005,428.4,427.5,429.4,427,30010,-0.05
02/22/2005,435.8,428.3,436.4,427.4,65940,1.73
02/23/2005,436.1,435.9,437.4,433,59730,0.07
02/24/2005,435.7,435.7,438.2,433.5,44580,-0.09
